"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223"
"women","experience","high","prevalence","homelessness","affect","likelihood","acquiring","infection","lead","poor","medical","","analyzed","","national","behavioral","surveillance","women","identify","personal","","social","factors","affecting","women","associated","duration","homelessness","past","months","longer","duration","chronic","homelessness","indicate","greater","unmet","needs","increases","likelihood","acquiring","infection","ordinal","logistic","regression","conducted","calculate","adjusted","prevalence","odds","ratios","women","seven","urban","areas","united","states","experiencing","homelessness","nights","nights","zero","nights","past","months","women","reported","nights","homeless","reported","nights","homeless","past","months","participants","reported","physical","intimate","partner","violence","forced","respectively","reported","experiencing","nights","homeless","furthermore","evicted","denied","housing","identity","incarcerated","past","","experienced","nights","homeless","odds","women","experiencing","longer","duration","homelessness","associated","younger","having","disability","higher","","distress","scores","associated","longer","duration","homelessness","analysis","social","determinants","","women","experiencing","longer","homelessness","educated","living","federal","poverty","level","having","lower","social","support","focusing","prevention","","addressing","housing","instability","reduce","duration","homelessness","women","important","integrating","housing","services","behavioral","","services","clinical","","specifically","designed","women","reduce","acquisition","risk","improve","infection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"certain","women","seek","affirming","hormone","treatment","","face","economic","social","barriers","limit","prevent","access","medically","supervised","","women","facing","barriers","acquire","","prescription","potentially","proper","dosage","","","monitoring","absence","medical","supervision","report","survey","","analyzed","women","seven","urban","areas","united","states","examine","associations","self","reported","","","known","correlates","","","including","cost","insurance","coverage","","homelessness","receiving","money","drugs","exchange","past","months","exchange","lack","comfort","discussing","provider","lack","","","controlling","complex","sampling","design","women","reported","recent","","","insurance","coverage","","likely","report","","","reporting","recent","exchange","recent","homelessness","likely","report","","","findings","suggest","women","likely","","prescription","situations","economic","social","","","","","lack","insurance","specific","","","homelessness","engagement","work","public","","","","design","effective","","facilitate","prescribed","hormone","women","united","states","access","housing","affirming","","","insurance","coverage","needed","prevent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"psychosocial","structural","syndemic","conditions","including","polydrug","experiencing","homelessness","frequently","occur","jointly","increase","risk","limited","","assessed","racial","ethnic","differences","exposure","syndemic","conditions","behaviors","associated","transmission","women","report","examines","relation","syndemic","conditions","condomless","anal","intercourse","women","seven","urban","areas","united","states","develop","prevention","","women","women","seven","urban","areas","recruited","using","respondent","driven","sampling","","survey","reported","syndemic","conditions","psychosocial","polydrug","sexual","violence","","distress","structural","homelessness","","exchange","summed","create","syndemic","score","using","modified","poisson","regression","account","","assessed","strength","association","syndemic","score","differed","race","ethnicity","assess","additive","interaction","relative","excess","prevalence","owing","interaction","repi","selected","pairs","syndemic","conditions","prevalence","stratified","race","ethnicity","estimated","women","black","white","hispanic","reported","reported","syndemic","conditions","reporting","additional","syndemic","conditions","associated","white","hispanic","black","participants","association","","stronger","white","black","hispanic","participants","limited","significant","","interactions","majority","structural","syndemic","conditions","racial","ethnic","differences","repi","estimates","observed","reporting","syndemic","conditions","associated","increased","racial","ethnic","groups","","prevention","efforts","women","address","structural","psychosocial","syndemic","conditions","","differed","race","ethnicity","indicating","syndemic","focused","","women","tailored","racial","ethnic","groups","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"women","experience","","settings","including","employment","employment","","insurance","intertwined","united","states","employment","","related","lower","","insurance","coverage","","","including","affirming","","analysis","used","","women","seven","urban","areas","united","states","collected","present","prevalence","","types","employment","housing","bathroom","businesses","","","abuse","measure","association","employment","","defined","trouble","getting","fired","","","","","access","","","linked","poisson","regression","models","conducted","estimate","adjusted","prevalence","ratios","seven","women","experienced","type","","past","months","period","women","fired","trouble","getting","employment","","associated","younger","lower","","status","having","trouble","getting","associated","","","access","","","factors","including","having","","insurance","having","medicaid","having","unmet","medical","need","cost","having","specific","","having","unmet","need","affirming","procedures","findings","suggest","employment","","contributes","women","economic","","ability","obtain","adequate","","insurance","coverage","achieve","transition","goals","findings","help","guide","efforts","protect","women","right","pursue","work","","life","goals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"recommends","exposure","prophylaxis","prep","women","report","sexual","behaviors","place","substantial","ongoing","risk","exposure","including","engage","nonsterile","syringe","sharing","providing","women","access","prep","critical","strategy","reducing","acquisition","ending","epidemic","survey","","national","behavioral","surveillance","women","used","assess","","associated","past","","discussions","prep","","","provider","prep","bivariate","analyses","conducted","assess","association","covariates","","associated","","affirming","","outcome","accounting","sampling","design","covariates","","significant","bivariate","analyses","included","multivariate","models","manual","backward","elimination","used","obtain","final","models","retained","","significant","covariates","women","seven","urban","areas","united","states","infection","analyses","recently","discussed","prep","","","provider","recently","used","prep","final","multivariate","model","following","subgroups","women","likely","report","recent","prep","identified","black","african","american","hispanic","latina","partners","past","months","condomless","past","months","reported","partner","infected","condomless","partner","status","positive","unknown","specific","","","currently","specific","","insurance","coverage","participants","likely","recently","used","prep","wanted","currently","taking","hormones","aged","","providing","increased","access","affirming","","training","","","providers","serve","women","incorporate","prep","existing","services","increase","prep","women","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"address","healthcare","disparities","","adolescents","examined","vaccination","coverage","receiving","affirming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"despite","significant","strides","reducing","disparities","past","decades","women","face","disparities","domains","extensive","research","explored","various","consequences","inequalities","women","","participants","delves","explored","dimension","","perceiving","inequalities","associated","attitudes","minorities","drawing","relative","deprivation","theory","intra","minority","solidarity","research","examined","relationship","women","perceptions","inequalities","spanning","workplace","inequality","domestic","inequality","sexual","harassment","social","expectations","attitudes","gays","lesbians","women","immigrants","explored","indignation","arising","recognizing","unjust","","mediated","","moderating","role","perceived","friends","support","equality","","path","analyses","unveiled","nuanced","relationship","women","aware","inequalities","exhibited","positive","attitudes","gays","lesbians","women","relationship","observed","regarding","immigrants","indignation","perceived","friends","support","equality","factors","fostering","positive","intergroup","attitudes","regarding","moderating","role","perceived","social","norms","influenced","relationship","indignation","attitudes","gays","lesbians","findings","shed","light","intricate","interplay","inequalities","minority","group","attitudes","recognizing","multifaceted","nature","inequality","emotional","impact","catalyze","promoting","coalitional","attitudes","collective","action","","groups","","underscores","potential","close","groups","norms","promoting","positive","intergroup","attitudes","warranting","exploration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"measurement","sexual","identity","united","states","evolving","generate","precise","demographic","estimates","population","better","","","younger","cohorts","sexual","","adults","endorsing","identities","outside","lesbian","bisexual","lgbt","labels","current","population","level","surveys","include","category","providing","details","doing","inadequately","captures","","identities","research","note","analysis","recent","federal","","source","incorporate","sexual","identity","measures","household","pulse","survey","reveals","younger","birth","cohorts","likely","select","sexual","identity","identity","observed","sexual","identity","response","patterns","birth","cohorts","underscore","importance","developing","applying","strategies","directly","measure","sexual","","adults","identify","identities","outside","explicitly","captured","surveys","integration","sexual","identity","measures","population","level","surveys","carries","broader","implications","civil","rights","addressing","","inequities","responsive","cohort","differences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"correction","lower","face","asymmetry","remains","challenging","","surgery","report","describes","techniques","lateral","","symphyseal","segment","restore","lower","face","symmetry","maintaining","related","features","","","","medical","records","","attended","esthetic","corrective","surgery","orthodontic","camouflage","orthognathic","treatment","facial","feminization","lower","face","june","june","performed","","underwent","","genioplasty","advancement","setback","narrowing","osteotomy","supplemented","necessary","procedures","order","obtain","proper","facial","balance","desired","esthetical","effects","bichectomy","liposuction","face","neck","lift","mean","asymmetry","chin","surgically","corrected","single","segment","","shape","narrowing","genioplasty","depending","esthetical","requirements","","reported","lateral","shift","genioplasty","serves","powerful","tool","primary","secondary","corrective","surgery","lower","face","asymmetry","maintains","specific","facial","features","serve","additive","orthodontic","camouflage","correct","previous","orthognathic","surgery","pitfalls","surgeon","performing","esthetic","genioplasty","associated","specific","expectations","trained","facelift","facial","","techniques","order","provide","best","","properly","choose","right","procedures","right","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"upper","face","feminization","frequently","executed","procedure","sexual","reassignment","surgery","owing","ability","influence","identity","adjustments","hairline","forehead","peri","orbital","area","procedure","includes","reducing","hairline","lifting","brows","shaving","orbital","region","applying","specific","techniques","reduce","frontal","bone","research","aims","assess","","","potential","","associated","surgery","","","","medical","records","","attended","facial","feminization","surgery","upper","face","june","june","analyzing","previously","performed","procedures","","revision","surgery","","time","procedures","","","performed","similar","","","included","","cohort","treated","primary","complaint","insufficient","browbone","reduction","anterior","frontal","sinus","table","setback","underwent","poorly","performed","type","reduction","forehead","","type","indicated","reduction","performed","hairline","advancement","type","forehead","reduction","orbital","shaving","hairline","advancement","simultaneous","temporal","browlift","commonly","performed","revision","time","surgical","upper","face","feminization","type","osteoplasty","performed","","type","revision","surgery","performed","insufficient","type","reduction","case","shock","induced","alopecia","reported","treated","peptides","hair","graft","author","preferred","technique","upper","face","feminization","modified","coronal","incision","frontal","trichophytic","hyper","beveled","incision","provides","sufficient","insight","frontal","bone","orbital","region","desired","forehead","osteoplasty","efficient","insight","temporal","area","enabling","safe","dissection","fasciae","ligamentous","adhesion","removal","periosteal","attachment","providing","soft","hard","tissue","feminization","feminization","procedures","meticulously","planned","concerning","issues","addressed","surgery","order","prevent","revisions","","patient","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"importance","problem","breast","cancer","accounted","deaths","globally","half","cases","occur","women","specific","risk","factor","group","decades","seen","reduction","standardized","breast","cancer","mortality","witnessed","reduction","medium","diagnosis","turn","means","number","mastectomies","performed","younger","women","increased","raising","need","adequate","breast","","surgery","advances","oncological","treatment","possible","limit","extent","represents","radical","surgery","breast","cancer","past","decade","seen","marked","trend","mastectomies","breast","conserving","surgery","eligible","","prophylactic","mastectomies","registered","upward","trend","trend","uses","breast","","like","chest","feminization","","increased","need","breast","","surgery","purpose","purpose","","analyze","types","","procedures","indications","limitations","functional","","safety","profiles","used","integrated","treatment","plan","oncologic","patient","","conducted","extensive","","","main","","techniques","especially","autologous","procedures","summarized","findings","presented","cases","experience","","usage","breast","","oncologic","","conclusions","breast","","necessary","step","treatment","breast","cancers","","techniques","routinely","practiced","","techniques","considered","gold","standard","accessible","services","technical","financial","point","view","pediculated","flaps","remain","safe","reliable","option","alloplastic","procedures","improve","quality","life","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"security","measures","implemented","response","covid","emergency","caused","complex","consequences","present","","examine","","pandemic","individuals","belonging","identity","minority","groups","experienced","heightened","levels","stress","comparison","general","population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"substance","mental","distress","known","barriers","","engagement","women","known","access","utilization","mental","","substance","","women","relationship","unmet","behavioral","","needs","viral","suppression","examined","relationship","mental","","substance","viral","load","women","living","examined","relationship","mental","","substance","services","needs","","engagement","having","detectable","viral","load","comparing","engagement","","cascades","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dysphoria","socially","visible","discussed","today","","refers","distress","impaired","function","caused","","assigned","birth","","clinical","","variable","lack","training","investment","issues","make","diagnosis","management","primary","","complex","particularly","conservative","isolated","communities","poor","access","information","specialized","","services","diagnosis","dysphoria","patient","centered","","family","approach","","rural","born","adolescent","assigned","female","birth","raise","awareness","early","symptoms","signs","dysphoria","problems","faced","","families","childhood","leading","dysphoria","hope","successful","approach","improve","healthcare","provision","","particularly","rural","areas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"maltreatment","based","race","lesbian","bisexual","queer","sexual","minorities","lgbtq","status","significant","life","stressor","potentially","independent","categorized","fifth","edition","text","revision","trauma","relative","lack","research","","examining","events","","links","","stress","purpose","","develop","","measure","social","","maltreatment","examine","events","serve","potential","traumatic","stressors","classic","trauma","exposure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","visiting","pharmacies","receive","optimum","","pharmacists","lack","knowledge","confidence","provide","","situation","prompts","need","training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"university","education","undergoing","paradigm","shift","active","","virtual","reality","training","videos","proven","valuable","resources","especially","","sciences","scarcity","existing","research","topic","prompted","conduct","","seeks","measure","knowledge","gained","","tools","users","level","satisfaction","perceived","utility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"euphoria","positive","feeling","associated","identity","expression","affirmation","widely","discussed","","referred","individuals","construct","euphoria","formally","measured","rarely","empirically","studied","protocol","paper","illustrates","","developing","validating","tool","measure","euphoria","known","euphoria","scale","populations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sought","investigate","delays","obtaining","abortion","miscarriage","","covid","pandemic","compared","pandemic","pregnant","persons","york","state","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"diagnostic","","incongruence","terms","individuals","self","identity","does","match","assignment","birth","woman","individual","assigned","male","birth","amab","basis","external","internal","genitalia","identifies","lives","woman","recent","decades","significant","increase","number","","reported","etiology","unknown","biological","anatomical","genetic","","cultural","factors","suggested","contribute","variation","animals","shown","","endocrine","disruptors","anti","androgenic","activity","induce","female","identity","work","described","individuals","exposed","utero","xenoestrogen","","french","hhorages","cohort","reported","female","identity","starting","childhood","adolescence","high","prevalence","male","female","","cohort","sons","suggests","exposure","chemicals","xenoestrogen","activity","fetal","life","affect","male","identity","behavior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"women","experience","significant","inequities","healthcare","access","","disparities","compared","cisgender","populations","access","transition","related","healthcare","understudied","","assess","association","access","","minority","stress","resilience","factors","living","eastern","southern","united","states","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"asia","pacific","region","","high","burden","infection","compared","general","population","exposure","prophylaxis","prep","highly","effective","preventing","infections","cost","","prep","different","countries","asia","pacific","region","varying","prep","coverage","testing","frequencies","remains","unstudied","","analyse","economic","","benefits","long","acting","injectable","cabotegravir","compared","oral","prep","high","income","countries","income","middle","income","countries","asia","pacific","region","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"puberty","blockade","affirming","hormone","therapy","impair","fertility","counseling","fertility","preservation","important","prior","initiation","therapy","","assess","tanner","staging","presence","virilizing","secondary","","time","sperm","collection","correlate","viability","sperm","tanner","staging","degree","virilization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"family","physicians","uniquely","poised","provide","affirming","","nonbinary","","current","","graduate","medical","education","field","lacking","little","known","impact","various","curricula","clinical","","provided","resident","physicians","","assess","efficacy","multimodal","educational","framework","quality","provided","residents","large","academic","family","medicine","program","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lesbian","bisexual","queer","lgbtq","individuals","countries","face","strong","stigma","rely","affirmative","mental","","","foster","coping","resilience","tested","lgbtq","affirmative","mental","","training","","","comparing","","versus","online","modalities","added","benefit","supervision","participants","randomized","training","","live","stream","online","broadcast","","assessed","baseline","months","posttraining","optional","monthly","online","supervision","offered","months","given","substantial","need","lgbtq","affirmative","expertise","high","stigma","contexts","training","took","place","romania","central","eastern","european","country","highest","lgbtq","stigma","europe","participants","cisgender","female","heterosexual","trainees","regardless","","online","reported","significant","decreases","baseline","month","follow","implicit","explicit","bias","significant","increases","lgbtq","affirmative","clinical","skills","beliefs","behaviors","lgbtq","affirmative","practice","intentions","number","lgbtq","clients","change","participants","attended","supervision","session","demonstrated","greater","reductions","explicit","bias","increases","lgbtq","affirmative","behaviors","baseline","month","follow","participants","attend","supervision","lgbtq","affirmative","mental","","training","efficiently","sustainably","improve","lgbtq","competence","reduce","provider","bias","high","stigma","contexts","future","research","identify","additional","ways","encourage","mental","","providers","outreach","lgbtq","clients","need","affirmative","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"affirming","treatments","influence","experienced","sexuality","conforming","binary","tgnb","individuals","remains","understudied","research","discern","factors","contributing","satisfying","sexual","experience","tgnb","individuals","explore","influence","","identify","potential","areas","improvement","transition","related","","conducted","interviews","participants","various","stages","participants","identified","women","genderqueer","conforming","binary","thematic","analysis","conducted","involved","multiple","researchers","themes","emerged","","role","sexuality","plays","","affirming","satisfaction","physical","sexual","function","positive","","subsequent","influence","","participants","associated","satisfaction","physical","sexual","function","positive","sexual","experiences","describing","induced","changes","sexual","arousal","drive","orgasm","affirming","emotional","connection","affirmation","sexual","partners","contributed","positive","experiences","ability","define","meant","individually","increased","satisfaction","levels","","affirming","identity","closely","related","satisfactory","life","","offers","valuable","insights","healthcare","providers","working","tgnb","individuals","particularly","concerning","sexuality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sexual","","","face","intersecting","factors","affecting","livelihood","include","homophobic","reactions","stigma","","workplace","healthcare","facilities","economic","","lack","social","support","","","examine","association","factors","symptoms","anxiety","depression","sexual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"late","lgbtq","lesbian","bisexual","queer","identities","began","surface","indian","audiovisual","marketing","campaigns","brands","produced","","featuring","lgbtq","identities","research","conducts","analysis","campaigns","examining","aspects","release","date","featured","characters","identity","sexual","orientation","character","narrative","usage","genre","theme","setting","","reveals","substantial","surge","advertising","campaigns","brands","","launching","pride","month","valentine","women","characters","embodying","lesbian","identities","prevalent","","spotlighting","lesbian","lesbian","characters","","emphasised","themes","love","featuring","youthful","characters","urban","settings","contrast","","featuring","characters","centred","human","rights","older","characters","urban","settings","based","findings","recommended","number","lgbtq","marketing","campaigns","continue","rise","diversifying","character","identities","ages","settings","released","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"infertility","inability","achieve","pregnancy","despite","months","focused","attempts","conceive","experienced","couples","women","typically","carry","","share","","burden","associated","infertility","experiencing","poor","quality","life","experiencing","depressive","mood","anxiety","","currently","available","","","targeting","infertility","related","distress","associated","modest","effects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"disparities","youth","homelessness","racial","ethnic","sexual","identities","documented","","lacks","specificity","regarding","","social","identities","youth","likely","experience","homelessness","population","based","cross","sectional","","youth","minnesota","student","survey","used","examine","relationship","parent","caring","","minoritized","identities","experience","highest","prevalence","distinct","types","","unstable","housing","expanded","categories","sexual","identities","exhaustive","square","automatic","interaction","detection","models","revealed","parent","caring","common","predictor","","homelessness","running","away","important","variation","youth","color","intersection","sexual","identities","findings","reveal","complex","story","disparities","","unstable","housing","youth","multiple","marginalized","social","identities","highlight","need","create","culturally","informed","prevention","intervention","strategies","parents","lgbtq","lesbian","bisexual","queer","questioning","youth","color","implications","prevention","intervention","subgroups","highest","prevalence","discussed","context","interlocking","systems","power","oppression","psycinfo","database","record","rights","reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nonbinary","tgnb","","experience","inequities","","","access","quality","","","","","lack","knowledge","biased","attitudes","minorities","contribute","inequitable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nonbinary","tgnb","","experience","inequities","","","access","quality","","","","","lack","knowledge","biased","attitudes","minorities","contribute","inequitable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","epidemiology","sexually","transmitted","infections","stis","women","limited","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
