,0
103,"The measurement of sexual and gender identity in the United States has been evolving to generate more precise demographic estimates of the population and a better understanding of health and well-being. Younger cohorts of sexual- and gender-diverse adults are endorsing identities outside of the lesbian, gay, bisexual, and transgender (LGBT) labels. Current population-level surveys often include a category such as ""something else"" without providing further details, and doing so inadequately captures these diverse identities. In this research note, our analysis of the most recent federal data source to incorporate sexual and gender identity measures-the Household Pulse Survey-reveals that younger birth cohorts are more likely to select ""something else"" for their sexual identity and ""none of these"" for their gender identity. The observed sexual and gender identity response patterns across birth cohorts underscore the importance of developing and applying new strategies to directly measure sexual- and gender-diverse adults who identify with identities outside of those explicitly captured on surveys. The integration of sexual and gender identity measures in population-level surveys carries broader implications for civil rights and for addressing health inequities and therefore must be responsive to cohort differences in identification."
104,"Correction of lower face asymmetry still remains challenging in maxillofacial surgery. This report describes techniques for the lateral transposition of the symphyseal segment to restore lower face symmetry while maintaining gender-related features in cis- and transgender patients.  A retrospective review of medical records of 31 patients who attended for esthetic corrective surgery after orthodontic camouflage or orthognathic treatment, or during facial feminization of the lower face between June 2021 and June 2023 was performed.  All patients underwent lateralization genioplasty (with or without advancement or setback), either with or without narrowing T-osteotomy supplemented with necessary procedures in order to obtain proper facial balance and desired esthetical effects, such as bichectomy, liposuction, and face and neck lift. The mean asymmetry of the chin was 5.15 mm and was surgically corrected either by single segment lateralization or T-shape narrowing genioplasty depending on the gender and esthetical requirements. No complications were reported.  Lateral shift genioplasty serves as a powerful tool in primary and secondary corrective surgery for lower face asymmetry that maintains gender-specific facial features. It may serve either as an additive to orthodontic camouflage or a way to correct previous orthognathic surgery pitfalls. The surgeon performing esthetic genioplasty associated with gender-specific expectations must be trained in facelift and facial liposculpting techniques in order to provide the best results and properly choose the right procedures for the right patients."
105,": Upper-face feminization is a frequently executed procedure in sexual reassignment surgery, owing to its ability to influence gender identity through adjustments to the hairline, forehead, and peri-orbital area. The procedure includes reducing the hairline, lifting the brows, shaving the orbital region, and applying specific techniques to reduce the frontal bone. This research aims to assess the outcomes, results, and potential complications associated with this surgery among transgender patients. : Retrospective review of medical records of 20 patients who attended for facial feminization surgery of the upper face between June 2022 and June 2023, analyzing the previously performed procedures, complications and revision surgery outcomes, and first-time procedures. A literature review was performed for similar studies. : 20 patients were included in the study. Among the cohort treated elsewhere ( = 11), the primary complaint was insufficient browbone reduction and anterior frontal sinus table setback. They underwent poorly performed Type 1 reduction when full forehead reconstruction (Type 3/4) was indicated ( = 3), or no reduction was performed during hairline advancement ( = 4). Type 3 forehead reduction with orbital shaving and hairline advancement with simultaneous temporal browlift was most commonly performed in both revision and first-time surgical upper face feminization ( = 15) (75%). Type 1 osteoplasty was performed in four patients (10%), one Type 3 revision surgery was performed after insufficient Type 3 reduction, and one case of shock-induced alopecia was reported, treated with PRP/peptides and a FUE hair graft. : The author's preferred technique, 'whole-in-one' upper face feminization by modified bi-coronal incision with frontal trichophytic hyper-beveled incision, provides sufficient insight into the frontal bone and orbital region, the desired forehead osteoplasty and the most efficient insight into the temporal area, enabling safe dissection between fasciae, ligamentous adhesion removal, and periosteal attachment, providing full soft and hard tissue feminization. Nevertheless, feminization procedures should be meticulously planned, and all concerning issues should be addressed during the first surgery in order to prevent revisions, complications, and patient dissatisfaction."
106,"(1) Importance of problem: Breast cancer accounted for 685,000 deaths globally in 2020, and half of all cases occur in women with no specific risk factor besides gender and age group. During the last four decades, we have seen a 40% reduction in age-standardized breast cancer mortality and have also witnessed a reduction in the medium age at diagnosis, which in turn means that the number of mastectomies performed for younger women increased, raising the need for adequate breast reconstructive surgery. Advances in oncological treatment have made it possible to limit the extent of what represents radical surgery for breast cancer, yet in the past decade, we have seen a marked trend toward mastectomies in breast-conserving surgery-eligible patients. Prophylactic mastectomies have also registered an upward trend. This trend together with new uses for breast reconstruction like chest feminization in transgender patients has increased the need for breast reconstruction surgery. (2) Purpose: The purpose of this study is to analyze the types of reconstructive procedures, their indications, their limitations, their functional results, and their safety profiles when used during the integrated treatment plan of the oncologic patient. (3) Methods: We conducted an extensive literature review of the main reconstructive techniques, especially the autologous procedures; summarized the findings; and presented a few cases from our own experience for exemplification of the usage of breast reconstruction in oncologic patients. (4) Conclusions: Breast reconstruction has become a necessary step in the treatment of most breast cancers, and many reconstructive techniques are now routinely practiced. Microsurgical techniques are considered the ""gold standard"", but they are not accessible to all services, from a technical or financial point of view, so pediculated flaps remain the safe and reliable option, along with alloplastic procedures, to improve the quality of life of these patients."
107,"The security measures implemented in response to the COVID-19 emergency have caused complex consequences. The aim of the present study is to examine the repercussions of the pandemic on individuals belonging to gender identity minority groups, who have experienced heightened levels of stress in comparison to the general population."
108,Substance use and mental distress are known barriers to HIV care engagement among trans women. Less is known about access and utilization of mental health and substance use care among trans women and the relationship between unmet behavioral health needs and HIV viral suppression. We examined the relationship between mental health and substance use on HIV viral load among trans women living with HIV. We also examined the relationship between mental health and substance use services needs with HIV care engagement and having a detectable viral load by comparing engagement in care cascades.
109,"Gender dysphoria is socially more visible and discussed today, but still underdiagnosed. It refers to distress and/or impaired function caused by inconsistency between the sex assigned at birth and gender identification. Clinical manifestations are variable. Lack of training and investment in gender issues make the diagnosis and management in primary care complex, particularly in conservative and isolated communities, with poor access to information and specialized health services. We describe the diagnosis of gender dysphoria and use of a patient centered multidisciplinary and family approach in a 12-year-old rural born adolescent, assigned female at birth. Our aim is to raise awareness of early symptoms and signs of gender dysphoria and problems faced by transgender people and their families during childhood, leading to gender dysphoria, and we hope our successful approach might improve healthcare provision for these patients, particularly in rural areas."
110,"Maltreatment based on race, sex, or lesbian, gay, bisexual, transgender, queer, or other sexual and gender minorities (LGBTQ+) status is a significant life stressor, potentially independent of whether it can be categorized as a , fifth edition, text revision (DSM-5-TR) trauma. Yet there is a relative lack of research systematically examining these events, their intersectionality, and links to posttraumatic stress (PTS). The purpose of this study was to develop a comprehensive measure of social discrimination and maltreatment (SDM) and to examine whether these events can serve as potential traumatic stressors, above-and-beyond classic trauma exposure."
111,Trans and gender-diverse people visiting pharmacies may not always receive optimum care due to pharmacists' lack of knowledge and confidence to provide such care. This situation prompts a need for training.
112,"University education is undergoing a paradigm shift towards active methodologies, such as virtual reality and training videos, which have proven to be valuable resources, especially in the health sciences. The scarcity of existing research on the topic prompted us to conduct this study, which seeks to measure the knowledge gained from the aforementioned tools by users, their level of satisfaction with them, and their perceived utility."
113,"Gender euphoria (i.e., a positive feeling associated with one's gender identity, expression, or affirmation) is widely discussed among transgender and gender diverse (hereafter referred to as trans) individuals. However, as a construct, gender euphoria has never been formally measured and has rarely been empirically studied. Hence, this protocol paper illustrates our process for developing and validating a new tool to measure gender euphoria, known as the Gender Euphoria Scale (GES), for use with trans populations."
114,"We sought to investigate delays obtaining abortion and miscarriage care during the COVID-19 pandemic, compared with before the pandemic, among pregnant persons in New York State (NYS)."
115,"Diagnostic of transsexualism and gender incongruence are terms to describe individuals whose self-identity does not match their sex assignment at birth. A transgender woman is an individual assigned male at birth (AMAB) on the basis of the external or internal genitalia who identifies and lives as a woman. In recent decades, a significant increase in the number of transgender people has been reported. Although, its etiology is unknown, biological, anatomical, genetic, environmental and cultural factors have been suggested to contribute to gender variation. In XY animals, it has been shown that environmental endocrine disruptors, through their anti-androgenic activity, induce a female identity. In this work, we described four XY individuals who were exposed in utero to the xenoestrogen diethylstilbesterol (DES) and were part of the French HHORAGES cohort. They all reported a female transgender identity starting from childhood and adolescence. This high prevalence of male to female transgenderism (1.58%) in our cohort of 253 DES sons suggests that exposure to chemicals with xenoestrogen activity during fetal life may affect the male sex identity and behavior."
116,Transgender women (TW) experience significant inequities in healthcare access and health disparities compared to cisgender populations. Access to non-transition related healthcare is understudied among TW. We aimed to assess the association between access to care and gender minority stress and resilience factors among TW living with and without HIV in eastern and southern United States.
117,"Men who have sex with men (MSM) in the Asia-Pacific region have a disproportionately high burden of HIV infection compared with the general population. Although pre-exposure prophylaxis (PrEP) for HIV is highly effective at preventing new HIV infections, the cost-effectiveness of PrEP for MSM in different countries in the Asia-Pacific region with varying PrEP coverage and HIV testing frequencies remains unstudied. We aimed to analyse the economic and health benefits of long-acting injectable cabotegravir (CAB-LA) compared with oral PrEP in high-income countries and low-income and middle-income countries within the Asia-Pacific region."
118,Puberty blockade and gender affirming hormone therapy can impair fertility. Counseling on fertility preservation is important prior to initiation of therapy. The aim of our study was to assess tanner staging and the presence of virilizing secondary sex characteristics at the time of sperm collection and to correlate the viability of sperm with the tanner staging and degree of virilization.
119,"Family physicians are uniquely poised to provide gender-affirming care (GAC) to transgender and nonbinary patients, but current undergraduate and graduate medical education in this field is lacking. Little is known about the impact of various GAC curricula on the clinical care provided by resident physicians. We aimed to assess the efficacy of a multimodal educational framework on the quality of GAC provided by residents at a large academic family medicine program."
120,"Lesbian, gay, bisexual, transgender, and queer (LGBTQ) individuals in most countries face strong stigma and often rely on affirmative mental health care to foster coping and resilience. We tested an LGBTQ-affirmative mental health training for psychologists and psychiatrists by comparing in-person versus online modalities and the added benefit of supervision. Participants were randomized to a two-day training either in-person ( = 58) or via live-stream online broadcast ( = 55). Outcomes were assessed at baseline and 5, 10, and 15 months posttraining. Optional monthly online supervision was offered ( = 47) from months 5 to 15. Given the substantial need for LGBTQ-affirmative expertise in high-stigma contexts, the training took place in Romania, a Central-Eastern European country with some of the highest LGBTQ stigma in Europe. Participants ( age = 35.1) were mostly cisgender female (88%) and heterosexual (85%). Trainees, regardless of whether in-person or online, reported significant decreases from baseline to 15-month follow-up in implicit and explicit bias and significant increases in LGBTQ-affirmative clinical skills, beliefs, and behaviors. LGBTQ-affirmative practice intentions and number of LGBTQ clients did not change. Participants who attended at least one supervision session demonstrated greater reductions in explicit bias and increases in LGBTQ-affirmative behaviors from baseline to 15-month follow-up than participants who did not attend supervision. LGBTQ-affirmative mental health training can efficiently and sustainably improve LGBTQ competence and reduce provider bias in high-stigma contexts. Future research can identify additional ways to encourage mental health providers' outreach to LGBTQ clients in need of affirmative care."
121,"How gender-affirming treatments (GAT) influence the experienced sexuality of transgender, gender non-conforming, and non-binary (TGNB) individuals remains understudied. The aim of this research was to discern factors contributing to a satisfying sexual experience for TGNB individuals, explore the influence of GAT on this process, and identify potential areas for improvement in transition-related care. We conducted interviews with 21 participants at various stages of GAT. Participants identified as (trans)men (12), (trans)women (7), transgender (1), and genderqueer/gender non-conforming/non-binary (1). Thematic analysis was conducted and involved multiple researchers. Three themes emerged from the data: (i) the role sexuality plays in understanding and affirming one's gender, (ii) satisfaction with one's physical sexual function, (iii) positive communication about sex and its subsequent influence on relationships. Many participants associated satisfaction with physical sexual function with positive sexual experiences, often describing GAT-induced changes in sexual arousal, drive, and orgasm as gender-affirming. Emotional connection and affirmation from sexual partners also contributed to positive experiences. The ability to (re-)define what sex meant individually increased satisfaction levels. Moreover, understanding and affirming one's gender identity were closely related to a satisfactory sex life. This study offers valuable insights for healthcare providers working with TGNB individuals during GAT, particularly concerning their sexuality."
122,"Sexual and gender diverse people face intersecting factors affecting their well-being and livelihood. These include homophobic reactions, stigma or discrimination at the workplace and in healthcare facilities, economic vulnerability, lack of social support, and HIV. This study aimed to examine the association between such factors and symptoms of anxiety and depression among sexual and gender diverse people."
123,"In the late 2000s, LGBTQ+ (lesbian, gay, bisexual, transgender, queer, and others) identities began to surface in Indian audiovisual marketing campaigns. By 2021, brands had produced at least 105 advertisements featuring LGBTQ+ identities. This research conducts an analysis of these campaigns, examining aspects such as their release date, featured characters, gender identity, sexual orientation, character age, narrative usage, genre, theme, and setting. The study reveals a substantial surge in advertising campaigns since 2018, with brands strategically launching them during Pride Month, Valentine's Day, and Women's Day. Characters embodying gay, lesbian, and transgender identities were most prevalent. Advertisements spotlighting gay, lesbian, or both gay and lesbian characters predominantly emphasised themes of love, featuring youthful characters and urban settings. In contrast, advertisements featuring transgender characters centred on human rights, with older characters and non-urban settings. Based on these findings, it is recommended that the number of LGBTQ+ marketing campaigns should continue to rise, diversifying character identities, ages, and settings while being released throughout the year."
124,"Infertility-the inability to achieve pregnancy despite ≥12 months of focused attempts to conceive-is experienced by 1 in 6 couples. Women typically carry a disproportionate share of the psychological burden associated with infertility, experiencing poor quality of life, and 30%-40% experiencing depressive mood or anxiety. Unfortunately, currently available psychological interventions targeting infertility-related distress are associated with modest effects."
125,"Disparities in youth homelessness by racial/ethnic, sexual, and gender identities are well documented, though this literature lacks specificity regarding intersectional social identities of youth who are most likely to experience homelessness. Population-based cross-sectional data on youth from the 2019 Minnesota Student Survey ( = 80,456) were used to examine the relationship between parent caring and intersections of minoritized identities that experience the highest prevalence of two distinct types of unaccompanied unstable housing with expanded categories of sexual and gender identities. Exhaustive chi-square automatic interaction detection models revealed that low parent caring was the most common predictor of unaccompanied homelessness and running away, but there was important variation among youth of color at the intersection of sexual and gender identities. The findings reveal a more complex story of disparities in unaccompanied unstable housing among youth with multiple marginalized social identities and highlight the need to create culturally informed prevention and intervention strategies for parents of LGBTQ+ (lesbian, gay, bisexual, transgender, queer, and questioning) youth of color. The implications for prevention and intervention among subgroups with the highest prevalence are discussed in the context of interlocking systems of power and oppression. (PsycInfo Database Record (c) 2024 APA, all rights reserved)."
126,"Transgender and nonbinary (TGNB) people experience inequities in health care access, quality, and outcomes. Health care professionals' lack of knowledge and biased attitudes toward gender minorities contribute to inequitable care."
127,"Transgender and nonbinary (TGNB) people experience inequities in health care access, quality, and outcomes. Health care professionals' lack of knowledge and biased attitudes toward gender minorities contribute to inequitable care."
128,Data on the epidemiology of sexually transmitted infections (STIs) among transgender women (TGW) with and without HIV are limited.
129,The purpose of this study was to calibrate an item set for a new version of the Communicative Participation Item Bank (CPIB) specifically for use with gender-diverse clients. This new version contains a new item stem as well as other minor wording changes from the original CPIB in order to be acceptable to gender-diverse respondents.
130,"Gender-affirming surgery is a medically necessary treatment for transgender and gender diverse patients experiencing gender dysphoria. Preliminary data demonstrate an association between gender-affirming surgery and improved mental health outcomes. Penile inversion vaginoplasty is the most frequently performed feminizing bottom surgery in transwomen. Importantly, complications associated with penile inversion vaginoplasty are not uncommon and can be life-threatening. Surgeons and other members of the health care team must be aware of these potential harms. However, there is a paucity of high-quality evidence reported in the literature about the management and breadth of complications regarding feminizing bottom surgery."
131,"Intimate partner sexual violence (IPSV) is a substantial public health issue faced by youth, with disparities along lines of race, gender, and sexual orientation. Using an intersectional framework, the current study describes the prevalence of self-reported IPSV victimization across intersecting social positions among adolescents. High school students who completed the 2019 Minnesota Student Survey were asked whether they had ever experienced IPSV. Using exhaustive Chi-Square Automatic Interaction Detection (eCHAID), responses were modeled using five indicators: racial/ethnic identity, transgender/genderqueer/genderfluid identity, sex assigned at birth, sexual orientation, and school location. The prevalence of IPSV victimization within each end group identified by the eCHAID varied from 2.6% to 32.0%. The highest prevalence of IPSV among all students was observed in subgroups defined by multiple marginalized social positions; for example, 32.0% among lesbian, gay, bisexual, queer, pansexual, or questioning (LGBQ+) students of color who were transgender, genderqueer, genderfluid or unsure of their gender, and assigned male at birth; 22.8% among LGBQ+ students assigned female at birth and enrolled in a Greater Minnesota (outside of the Twin Cities) school; and 22.2% among Native+ or missing race LGBQ+ students assigned female at birth and enrolled in a metropolitan school. Within the eCHAID decision tree, several subsamples of students were split into two more subsamples with a twofold or greater statistically significant difference in IPSV victimization prevalence between them. Findings from this study highlight notable disparities in the prevalence of IPSV victimization among Minnesota youth and demonstrate the importance of detailing the distribution of interpersonal violence outcomes across youth with multiple marginalized identities. Findings suggest that disparities reported along one categorical axis only may miss important nuances in how risk for IPSV is distributed. Population health researchers should utilize methods that allow for the explication of complex intersections that characterize individuals' social positions in estimating the prevalence of sexual violence."
132,"Discrimination and inequality have been identified as significant problems faced by transgender individuals in sports participation. However, uncertainties remain regarding the effectiveness of interventions aimed at promoting equality."
133,"Studies of how gender-diverse individuals experience pregnancy, childbirth, and nursing remain few, mainly focus on the US and contain scarce information about mental health concerns peri-partum. This hinders informed reproductive health decisions and counseling. We used in-depth interviews to examine how gestational gender-diverse individuals in Sweden experience the process of planning and undergoing pregnancy, delivery, and nursing. In total, 12 participants, identifying on the masculine side of the gender spectrum or as non-binary, who had attended Swedish antenatal care and delivered a live birth, were included in the study. Data were analyzed using qualitative thematic content analysis. The analysis resulted in one overarching theme: sustaining gender congruence during pregnancy and three main categories: (1) considering pregnancy; (2) undergoing pregnancy and childbirth; and (3) postnatal reflections. The association between childbearing and being regarded as female permeated narratives. Participants renegotiated the feminine connotations of pregnancy, accessed gender-affirming treatment, and concealed their pregnancy to safeguard their gender congruence. Mis-gendering and breast enlargement triggered gender dysphoria. Social judgment, loneliness, information shortages, hormonal influence and cessation of testosterone increased gender dysphoria and strained their mental health. Depression exacerbated gender dysphoria and made it harder to claim one's gender identity. Dissociation was used to handle a feminized body, vaginal delivery, and nursing. Pregnancy was easier to envision and handle after masculinizing gender-affirming treatments. The results deepen the understanding of gender dysphoria and may be used to inform reproductive counseling and healthcare development. Research outcomes on mental health concerns provide a basis for further research."
134,"Testicular tumors are the most common malignancies in young adults and their incidence is growing. The implantation of a testicular prosthesis, for example, during orchiectomy is a standard procedure but its frequency in Germany is unknown. This study aims to analyze trends of testicular prosthesis implantation in recent years in Germany."
135,"Transgender and nonbinary (TGNB) patients experience many barriers when seeking quality healthcare services, including ineffective communication and negative relationships with their providers as well as a lack of provider competence (including knowledge, training, and experience) and humility (engagement in the process of self-reflection and self-critique) in treating TGNB individuals. The purpose of this qualitative study was to identify factors associated with cultural competence and humility that facilitate and impede effective relationships between TGNB young adults and their healthcare providers."
136,"The purpose of this study was to identify the common factors that help and hinder transgender and nonbinary youth accessing gender-specific health care in Ireland and to identify how these factors may be perceived differently by young people seeking gender-affirming care, their parents, and health-care providers."
137,"The purpose of the study was to provide a transgender narrative on healthcare interactions to increase visibility and awareness of transgender-identified issues in accessing care. This study aimed to: (a) examine how transgender individuals perceive and experience interactions with trained healthcare professionals, such as nurses, physicians, and mental health professionals, (b) identify common issues related to transgender individuals' barriers to care, and (c) identify how these barriers affect a transgender individual's ability to access health care."
138,"Existing literature suggests that transgender women (TW) may be at high risk for adverse mental health due to stress attributed to combined experiences of stigma and complex social and structural vulnerabilities. Little research has examined how these co-occurring experiences relate to mental health. We aimed to test a theoretically driven conceptual model of relationships between stigma, social and structural vulnerabilities, and mental health to inform future intervention tailoring."
139,"Existing literature suggests that transgender women (TW) may be at high risk for adverse mental health due to stress attributed to combined experiences of stigma and complex social and structural vulnerabilities. Little research has examined how these co-occurring experiences relate to mental health. We aimed to test a theoretically driven conceptual model of relationships between stigma, social and structural vulnerabilities, and mental health to inform future intervention tailoring."
140,"Existing literature suggests that transgender women (TW) may be at high risk for adverse mental health due to stress attributed to combined experiences of stigma and complex social and structural vulnerabilities. Little research has examined how these co-occurring experiences relate to mental health. We aimed to test a theoretically driven conceptual model of relationships between stigma, social and structural vulnerabilities, and mental health to inform future intervention tailoring."
141,"Transgender (trans) individuals experience intimate partner violence (IPV) at elevated levels compared to cisgender individuals. Traditional theoretical understandings of IPV as men's patriarchal domination of women, and later, broader theories in which IPV is conceptualized as the relatively privileged partner enacting domination over the relatively oppressed partner, do not fully capture the totality of IPV experiences, including how IPV is perpetrated against trans individuals. We conducted a systematic review and qualitative meta-synthesis of the qualitative and theoretical literatures on IPV against trans individuals (N = 37 articles and books) to generate novel IPV theory inclusive of trans individuals' experiences. We identified five major themes: (1) societal context of IPV, (2) IPV tactics and types, (3) help-seeking, (4) consequences of IPV, and (5) proposed interventions for victims. Synthesizing across themes, we offer a novel theoretical model that demonstrates how abusers can leverage structural discrimination and vulnerabilities against trans victims, regardless of the abuser's own identities. We identify individual power and control tactics abusers use, including identifying a category of IPV that we term leveraging vulnerability, which involves abusers weaponizing their own vulnerabilities to avoid accountability. Reducing IPV in trans communities requires expanding current IPV theory to include trans victims, recognition of a wider range of abuse tactics, and structural interventions that promote the respectful treatment of trans individuals. Our theoretical model of IPV ""centers the margins"" to make trans victims' experiences, and indeed all victims whose experiences fall outside normative scripts, more legible."
142,"To understand barriers to seeking post-sexual assault services for students of color and lesbian, gay, bisexual, transgender, queer, and questioning (LGBTQ+) students.  Qualitative interviews about campus and community resources for sexual and relationship violence were conducted with 29 undergraduate and graduate students who held diverse sexual, gender, and racial identities ( = 15 disclosed violence-related service-seeking).  Organized within trauma-informed care pillars, thematic coding revealed aspects of campus environment/culture that prevent students from accessing support including challenges identifying experiences as violence; limited cultural and identity-affirming care; limited clarity about resources; confidentiality concerns; difficulty accessing resources; and navigating resources alone. Suggestions to address concerns included regular prevention training; better coordinated care and systems with increased accountability, increased survivor support and peer support, and heightened transparency on websites/trainings about processes and confidentiality.  Findings suggest promising avenues to improve support, particularly for minoritized survivors of violence, at this campus."
143,"Transgender and gender diverse (TGD) employees encounter unique challenges in the workplace that are not shared with the rest of the working population. In this study, we conducted a systematic review of 58 empirical studies on the workplace experiences of TGD individuals published in peer-reviewed journals between 2000 and 2022. Using the Minority Stress Model as a theoretical framework, we classified the literature based on (a) the challenges that TGD employees face when navigating their gender identity at work, (b) the outcomes of minority stress processes, and (c) the mechanisms to ameliorate the impact of minority stressors. Findings suggest that TGD employees are exposed to various distal and proximal stress processes that negatively impact work outcomes and mental health, including discrimination or expectations of rejection. A key protective factor both at the organizational and interpersonal level is support, including inclusive policy development and coworker support. At the intrapersonal level, adaptive coping strategies and an integrated minority identity can countervail the impact of minority stressors. Future research should further examine intrapersonal variables while leveraging broader intersectional and international samples. Practitioners are advised to proactively and continuously review their nondiscrimination policies and practices to promote employee wellbeing and positive work outcomes."
144,"The study aims at assessing gender and sexuality characteristics (GSC) in perception, attitude, and social intimacy among Sinophone youth toward transgender and gender non-conforming (TGNC) people. Based on an internet survey with 3 825 valid questionnaires, we distinguished the general public into TGNC, cisgender heterosexual, and cisgender non-heterosexual individuals. Then we classified TGNC individuals into trans females, trans males, and non-binary/genderqueer people and cisgender individuals into cisgender females and cisgender males. The chi-square test, one-way analysis of variance (ANOVA), and multiple linear regression were used. We found that the evident gender and sexuality disparities in perception, attitude, and social intimacy toward TGNC individuals exist both in and out of TGNC individuals. Negative perceptions and attitudes as well as alienated social intimacy were most pronounced among cisgender heterosexual people (Chi-square test, one-way ANOVA, and multiple linear regression: all  < .001). Cisgender females exhibit higher levels of supportiveness compared to cisgender males. Trans females were the most positive while they also had more concerns regarding public space and gender expression-related issues. The findings are practical for community-based advocacy for raising public awareness of the presences and experiences of TGNC people in Sinophone societies."
145,"Sexual assault (SA) is experienced by a substantial proportion of emerging adult college students and is associated with elevated rates of posttraumatic stress disorder (PTSD) and alcohol use. This study examines the mediating role of posttraumatic stress symptoms (PTSS) in the associations among SA severity, drinking to cope with anxiety, and average weekly drinks while considering the moderating roles of gender identity and sexual orientation."
146,"Although the term homosexuality was removed from the International Classification of Diseases and trans identities from mental disorders, these classifications promote the pathologizing of homosexuality. The direct consequence is discrimination, which adds to the difficulty in carrying out accurate information related to the LGBT population and makes it very difficult to organize public policies suited to their needs. An important issue is related to the limited access of that population to assisted reproduction techniques, when compared to traditional families. The desire for same sex couples and transgender persons to have biological children is reportedly the same as for cisgender persons, but parenthood can be a much greater endeavor both medically and psychologically for them. The right to health includes freedom to control one's health and body, including sexual and reproductive issues. Despite these difficulties, we are living in a period of great social progress that increases access to assisted reproduction among novel patient populations. With legalization of gay marriage, individuals and couples who identify as lesbian, gay, bisexual and transgender, may seek to begin or expand their families with assisted reproduction technologies. Therefore, the aim of this review was to assist in the restructuring of healthcare services, routines and procedures, mainly related to reproductive medicine, in order to promote changes in values based on respect for differences. In conclusion, the healthcare personnel of fertility centers should undergo specific training and preparations to meet the specific demands of the LGBT patient population and to overcome communication barriers."
147,"This was a retrospective cohort study. Algorithms were developed to identify a cohort of people who were trans and gender diverse (PTGD) among provincial-level administrative health databases (physician, hospital, emergency department, and pharmacy) from April 1, 2012 to September 30, 2020. Then, healthcare usage was compared between the identified cohort and the general population. There were 6466 unique individuals identified in the cohort, out of a total population of 1.2 million Saskatchewan residents (~0.5%). They had a mean age of 42.5 (SD 17.7) years. 1946 (30.1%) had a female sex marker and 4560 (69.9%) had a male sex marker, which may not indicate their lived gender. The cohort had increased healthcare usage 2 years prior to their index date, compared to the general population, which continued to rise to 1 year past their index date across physician, emergency department visits, and hospitalizations. The results for drugs were mixed. The percentage of PTGD identified in Saskatchewan was comparable to other studies. Healthcare utilization among the cohort was higher than the general population. Further research could use external data sources to validate and improve the cohort identification methods. The large majority of individuals with a male sex marker deserves further investigation."
148,"Implicit biases may negatively influence healthcare providers' behaviors toward patients from historically marginalized communities, impacting providers' communication style, clinical decision-making, and delivery of quality care. Existing interventions to mitigate negative experiences of implicit biases are primarily designed to increase recognition and management of stereotypes and prejudices through provider-facing tools and resources. However, there is a gap in understanding and designing interventions from patient perspectives. We conducted seven participatory co-design workshops with 32 Black, Indigenous, People of Color (BIPOC), Lesbian, Gay, Bisexual, Transgender, Queer/Questioning (LGBTQ+), and Queer, Transgender, Black, Indigenous, People of Color (QTBIPOC) individuals to design patient-centered interventions that help them address and recover from provider implicit biases in primary care. Participants designed four types of solutions: accountability measures, real-time correction, patient enablement tools,  provider resources. These informatics interventions extend the research on implicit biases in healthcare through inclusion of valuable, firsthand patient perspectives and experiences."
149,Previous meta-analyses of psychological interventions for adult post-traumatic stress disorder (PTSD) did not investigate whether efficacy is diminished in individuals with PTSD related to multiple (vs single) traumatic events. We aimed to assess whether treatment efficacy would be lower in randomised controlled trials involving multiple-event-related PTSD versus single-event-related PTSD.
150,"Transgender women (TGW) are disproportionately affected by HIV, and HIV prevalence among TGW in Thailand has been increasing. Although oral daily pre-exposure prophylaxis (PrEP) is effective for HIV prevention, PrEP uptake and persistence among TGW have been low. This study aimed to provide a deeper understanding of TGW's experiences with PrEP uptake and adherence, and to identify major barriers to PrEP use to inform intervention adaptation."
151,"Transgender women (TGW) are disproportionately affected by HIV, and HIV prevalence among TGW in Thailand has been increasing. Although oral daily pre-exposure prophylaxis (PrEP) is effective for HIV prevention, PrEP uptake and persistence among TGW have been low. This study aimed to provide a deeper understanding of TGW's experiences with PrEP uptake and adherence, and to identify major barriers to PrEP use to inform intervention adaptation."
152,"Transgender women (TGW) are disproportionately affected by HIV, and HIV prevalence among TGW in Thailand has been increasing. Although oral daily pre-exposure prophylaxis (PrEP) is effective for HIV prevention, PrEP uptake and persistence among TGW have been low. This study aimed to provide a deeper understanding of TGW's experiences with PrEP uptake and adherence, and to identify major barriers to PrEP use to inform intervention adaptation."
153,To explore the impact of telemedicine on access to gender-affirming care for rural transgender and gender diverse youth.
154,"Self-reported sexual orientation of transgender individuals occasionally changes over transition. Using functional magnetic resonance imaging, we tested the hypothesis that neural and behavioral patterns of sexual arousal in transgender individuals would shift from the assigned to the experienced gender (e.g., trans women's responses becoming more dissimilar to those of cis men and more similar to those of cis women). To this aim, trans women (N = 12) and trans men (N = 20) as well as cisgender women (N = 24) and cisgender men (N = 14) rated visual stimuli showing male-female, female-female or male-male intercourse for sexual arousal before and after four months of gender-affirming hormone therapy. A Bayesian framework allowed us to incorporate previous behavioral findings. The hypothesized changes could indeed be observed in the behavioral responses with the strongest results for trans men and female-female scenes. Activation of the ventral striatum supported our hypothesis only for female-female scenes in trans women. The respective application or depletion of androgens in trans men and trans women might partly explain this observation. The prominent role of female-female stimuli might be based on the differential responses they elicit in cis women and men or, in theory, the controversial concept of autogynephilia. We show that correlates of sexual arousal in transgender individuals might change in the direction of the experienced gender. Future investigations should elucidate the mechanistic role of sex hormones and the cause of the differential neural and behavioral findings.The study was registered at ClinicalTrials.gov (NCT02715232), March 22, 2016."
